Rating,Price (₹),RAM (GB),ROM (GB),Battery (mAh),Display Size (inches),Type
4.0,31999,8,256,6200.0,6.67,1
4.5,33999,8,256,5500.0,6.78,0
4.4,14999,8,128,6000.0,6.72,1
4.5,23999,8,128,5500.0,6.67,1
4.3,14999,8,128,6000.0,6.72,1
4.6,17895,8,128,6000.0,6.72,0
4.3,92999,12,512,4000.0,6.2,1
4.4,22999,8,256,5000.0,6.67,1
4.2,26999,8,256,6000.0,6.77,1
4.4,14499,8,128,5000.0,6.66,1
4.2,12499,4,128,6000.0,6.72,1
3.9,9990,4,64,5160.0,6.88,1
4.4,16999,6,128,6000.0,6.67,1
4.2,23999,8,128,5500.0,6.67,1
4.4,11499,4,128,5000.0,6.66,1
4.6,15499,8,128,6000.0,6.72,1
4.3,37999,12,512,6200.0,6.67,1
4.2,31999,8,256,6200.0,6.67,1
4.6,6090,4,64,5000.0,6.67,0
4.6,74999,8,128,4000.0,6.2,1
4.4,74999,12,256,4700.0,6.3,0
4.6,23999,8,128,5500.0,6.67,1
4.3,15499,8,256,5110.0,6.67,1
4.2,11098,6,128,5000.0,6.56,1
4.3,16999,8,128,5000.0,6.7,1
4.3,8499,6,128,5000.0,6.71,0
4.9,13499,6,128,5110.0,6.67,1
4.4,111999,12,512,4900.0,6.7,1
4.2,24999,8,128,6000.0,6.77,1
4.3,11999,6,128,5000.0,6.67,1
4.4,10049,4,128,5000.0,6.67,1
4.4,16999,6,128,6000.0,6.67,1
4.4,23999,8,128,5500.0,6.67,1
4.4,26999,8,256,6000.0,6.77,1
4.3,24999,8,128,6000.0,6.77,1
4.2,13499,6,128,5110.0,6.67,1
4.6,14499,8,128,5000.0,6.66,1
4.3,37999,12,512,6200.0,6.67,1
4.6,31999,8,256,6200.0,6.67,1
4.4,27999,8,128,4300.0,6.1,0
4.4,23999,8,128,5500.0,6.67,1
4.2,15371,8,128,6000.0,6.72,1
4.2,19999,8,256,5000.0,6.7,1
4.3,14499,8,128,5000.0,6.66,1
4.2,10049,4,128,5000.0,6.67,1
4.2,11999,6,128,5000.0,6.67,1
4.8,11999,6,128,5000.0,6.67,1
4.4,99999,12,256,4900.0,6.7,1
4.4,24999,8,256,5000.0,6.78,0
4.0,28999,8,256,5500.0,6.77,1
4.4,74999,12,256,4700.0,6.3,0
4.2,31999,8,256,6000.0,6.83,1
4.4,19999,8,256,5000.0,6.7,1
4.5,28999,8,256,5500.0,6.77,1
4.4,10999,6,128,5000.0,6.67,1
4.4,16999,6,128,6000.0,6.67,1
4.5,23999,8,128,5500.0,6.67,1
4.5,12999,8,128,5000.0,6.67,1
4.6,10999,6,128,5000.0,6.67,1
4.3,37999,12,512,6200.0,6.67,1
4.5,31999,8,256,6200.0,6.67,1
4.2,12999,8,128,5000.0,6.67,1
3.3,10780,4,128,5000.0,6.56,1
4.4,16999,8,128,5000.0,6.7,1
4.4,23999,8,128,5500.0,6.67,1
4.0,29999,8,128,6000.0,6.83,1
4.3,5535,2,32,4000.0,6.6,0
4.6,8499,4,64,5000.0,6.74,0
3.8,11010,6,128,5000.0,6.56,1
3.9,10979,4,128,5000.0,6.74,1
4.3,15499,6,128,5000.0,6.7,1
4.1,8999,4,128,5000.0,6.74,0
4.6,14249,6,128,5000.0,6.7,1
4.1,80999,12,256,4000.0,6.2,1
4.4,16999,6,128,6000.0,6.67,1
4.3,23999,8,128,5500.0,6.67,1
4.5,26999,12,256,5000.0,6.78,0
4.3,32995,12,512,5500.0,6.78,1
4.3,24999,12,256,5000.0,6.67,1
4.6,13499,6,128,5110.0,6.67,1
4.3,37999,12,512,6200.0,6.67,1
4.6,31999,8,256,6200.0,6.67,1
4.4,10999,4,128,5000.0,6.67,1
4.2,23999,8,128,5500.0,6.67,1
4.1,16268,8,128,5000.0,6.7,1
4.4,34999,12,256,6000.0,6.83,1
4.3,34999,12,256,6000.0,6.83,1
4.7,11299,6,128,5000.0,6.74,1
4.2,127999,12,512,5000.0,6.9,1
4.5,9499,4,64,5160.0,6.88,1
4.2,29999,12,256,5000.0,6.7,1
4.3,11483,4,128,6000.0,6.72,0
4.2,28999,8,256,5000.0,6.6,1
4.2,5637,2,32,4000.0,6.67,0
4.2,9499,4,128,5000.0,6.79,0
4.2,7999,4,128,5000.0,6.71,0
4.4,9999,6,128,5000.0,6.79,0
4.4,16999,6,128,6000.0,6.67,1
4.1,23999,8,128,5500.0,6.67,1
4.6,23999,8,256,5000.0,6.7,1
4.3,37999,12,512,6200.0,6.67,1
4.3,31999,8,256,6200.0,6.67,1
4.5,9999,4,128,5000.0,6.74,1
4.2,56990,8,256,4000.0,6.2,1
4.3,10299,6,128,5030.0,6.79,1
4.4,15499,8,256,5110.0,6.67,1
4.4,23999,8,128,5500.0,6.67,1
4.3,27999,8,256,4500.0,6.7,1
4.6,20999,8,256,5500.0,6.67,1
4.6,66299,12,256,6000.0,6.82,0
4.2,74999,12,256,4700.0,6.3,0
4.0,6600,4,64,5000.0,6.71,0
4.4,15499,6,128,5000.0,6.7,1
4.2,15894,8,128,6000.0,6.72,1
